date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:22	118941/118941	--FM--	200	added ('OK')	text/html		file:///C:/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html	C:/My%20Web%20Site/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html	(from )
11:34:23	137307/137307	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Jan%202021%2004:13:46%20GMT	https://images-eu.ssl-images-amazon.com/images/I/710hicIoD5L.css?AUIClients/AmazonRTL	C:/My%20Web%20Site/amazon6/images-eu.ssl-images-amazon.com/images/I/710hicIoD5Lbff5.css	(from )
11:34:24	60911/60911	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20May%202015%2002:58:48%20GMT	https://images-eu.ssl-images-amazon.com/images/I/01SdjaY0ZsL._RC|31jdWD+JB+L.css,51a-Srr-vTL.css_.css?AUIClients/AuthenticationPortalAssets	C:/My%20Web%20Site/amazon6/images-eu.ssl-images-amazon.com/images/I/01SdjaY0ZsL._RC_31jdWD+JB+L.css,51a-Srr-vTL.css_7e0c.css	(from )
11:34:24	4709/4709	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Jun%202024%2013:07:54%20GMT	https://images-eu.ssl-images-amazon.com/images/I/21N2V6fmOuL.css?AUIClients/CVFAssets	C:/My%20Web%20Site/amazon6/images-eu.ssl-images-amazon.com/images/I/21N2V6fmOuLc8b6.css	(from )
11:34:24	521/521	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2022%20Dec%202020%2019:40:30%20GMT	https://images-eu.ssl-images-amazon.com/images/I/01wGDSlxwdL.js?AUIClients/AuthenticationPortalInlineAssets	C:/My%20Web%20Site/amazon6/images-eu.ssl-images-amazon.com/images/I/01wGDSlxwdLf98e.js	(from )
11:34:24	21896/21896	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2026%20Jun%202024%2002:34:47%20GMT	https://images-eu.ssl-images-amazon.com/images/I/413YGgErICL.js?AUIClients/CVFAssets&uJU2Io3m	C:/My%20Web%20Site/amazon6/images-eu.ssl-images-amazon.com/images/I/413YGgErICL088f.js	(from )
11:34:25	331197/331197	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20May%202024%2016:30:14%20GMT	https://images-eu.ssl-images-amazon.com/images/I/8150jbgvn9L.js?AUIClients/SiegeClientSideEncryptionAUI	C:/My%20Web%20Site/amazon6/images-eu.ssl-images-amazon.com/images/I/8150jbgvn9Lf1d7.js	(from )
11:34:25	14537/14537	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2012%20Aug%202021%2022:54:08%20GMT	https://images-eu.ssl-images-amazon.com/images/I/31jdfgcsPAL.js?AUIClients/AmazonUIFormControlsJS	C:/My%20Web%20Site/amazon6/images-eu.ssl-images-amazon.com/images/I/31jdfgcsPAL5973.js	(from )
11:34:26	180817/180817	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2017%20May%202024%2020:39:01%20GMT	https://images-eu.ssl-images-amazon.com/images/I/71KpCrHpq0L.js?AUIClients/IdentityWebAuthnAssets	C:/My%20Web%20Site/amazon6/images-eu.ssl-images-amazon.com/images/I/71KpCrHpq0L99db.js	(from )
11:34:26	59617/59617	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2005%20Apr%202024%2021:31:59%20GMT	https://images-eu.ssl-images-amazon.com/images/I/51RddlGAZmL.js?AUIClients/IdentityJsCommonAssets	C:/My%20Web%20Site/amazon6/images-eu.ssl-images-amazon.com/images/I/51RddlGAZmLfef7.js	(from )
11:34:26	262914/262914	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2004%20Mar%202024%2017:50:08%20GMT	https://images-eu.ssl-images-amazon.com/images/I/8177uTcYaeL.js?AUIClients/FWCIMAssets	C:/My%20Web%20Site/amazon6/images-eu.ssl-images-amazon.com/images/I/8177uTcYaeLac85.js	(from )
11:34:27	1451069/1451069	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2007%20Mar%202024%2021:33:13%20GMT	https://images-eu.ssl-images-amazon.com/images/I/A1bfdSKFkcL.js?AUIClients/ACICAssets	C:/My%20Web%20Site/amazon6/images-eu.ssl-images-amazon.com/images/I/A1bfdSKFkcLa250.js	(from )
11:34:27	2073/2073	---MCZ	200	added ('OK')	text/plain	etag:W/%2207f3bbae3312b76d3a76b274e03d3f0c%22	https://static.siege-amazon.com/prod/profiles/AuthenticationPortalSigninEU.js	C:/My%20Web%20Site/amazon6/static.siege-amazon.com/prod/profiles/AuthenticationPortalSigninEU.js	(from )
11:34:28	23/23	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2028%20Nov%202016%2008:22:04%20GMT	https://m.media-amazon.com/images/G/01/csm/showads.v2.js?category=ad&adstype=-ad-column-&ad_size=-housead-	C:/My%20Web%20Site/amazon6/m.media-amazon.com/images/G/01/csm/showads.v2fb02.js	(from )
11:34:28	3516/3516	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Dec%202020%2006:33:08%20GMT	https://m.media-amazon.com/images/S/sash/Pq46CmXZMTyTAdQ.png	C:/My%20Web%20Site/amazon6/m.media-amazon.com/images/S/sash/Pq46CmXZMTyTAdQ.png	(from https://images-eu.ssl-images-amazon.com/images/I/21N2V6fmOuL.css?AUIClients/CVFAssets)
